,signal,Return,totalreturn,profitline,loss_cut,interest,open_price,settlement day,ensuring_time
2014-06-16,1,0.02469091049776355,435.021484375,not crossed,safe,435.021484375,17618.689453125,2014-12-26,193
2014-09-15,1,0.02007478519846811,788.712890625,not crossed,safe,353.69140625,17618.689453125,2015-02-12,150
2014-12-15,1,0.005541878547370208,888.29296875,not crossed,safe,99.580078125,17968.650390625,2015-05-12,148
2015-03-16,1,-0.03695881195357256,220.43359375,not crossed,safe,-667.859375,18070.369140625,2015-08-12,149
2015-06-15,1,0.0026681212708931,266.86328125,not crossed,safe,46.4296875,17401.640625,2015-11-12,150
2015-09-21,1,-0.08402942536232923,-1198.546875,not crossed,safe,-1465.41015625,17439.25,2016-02-12,144
2015-12-21,1,0.10667429341061399,509.5634765625,not crossed,safe,1708.1103515625,16012.3896484375,2016-05-12,143
2016-03-21,1,0.04885922541817778,1374.9150390625,not crossed,safe,865.3515625,17711.119140625,2016-08-12,144
2016-06-20,1,0.015068362459413632,1655.0146484375,not crossed,safe,280.099609375,18588.58984375,2016-11-14,147
2016-09-19,1,0.08240173067848844,3208.9638671875,not crossed,safe,1553.94921875,18858.2109375,2017-02-13,147
2016-12-19,1,0.02563968848118328,3731.3525390625,not crossed,safe,522.388671875,20374.220703125,2017-05-12,144
2017-03-20,1,0.05114217916177498,4801.4326171875,not crossed,safe,1070.080078125,20923.630859375,2017-08-14,147
2017-06-19,1,0.0639943173849048,6211.2216796875,not crossed,safe,1409.7890625,22029.91015625,2017-11-13,147
2017-09-18,1,0.05185772093722006,7424.0908203125,not crossed,safe,1212.869140625,23388.400390625,2018-02-12,147
2017-12-18,1,0.01463224320870404,7783.1708984375,not crossed,safe,359.080078125,24540.330078125,2018-05-14,147
2018-03-19,1,0.015242050967959825,8161.3193359375,not crossed,safe,378.1484375,24809.55078125,2018-08-13,147
2018-06-18,1,0.00680093378742603,8332.8095703125,not crossed,safe,171.490234375,25215.689453125,2018-11-12,147
2018-09-17,1,0.004128903170668119,8437.3583984375,not crossed,safe,104.548828125,25321.2109375,2019-02-12,148
2018-12-17,1,-0.006117106897027487,8281.4892578125,not crossed,safe,-155.869140625,25480.859375,2019-05-13,147
2019-03-18,1,0.02018632070807932,8793.8994140625,not crossed,safe,512.41015625,25384.029296875,2019-08-12,147
2019-06-17,1,0.06962870990026712,10596.5087890625,not crossed,safe,1802.609375,25888.880859375,2019-11-12,148
2019-09-16,1,0.06984932774185922,12525.8896484375,not crossed,safe,1929.380859375,27622.0390625,2020-02-12,149
2019-12-16,1,-0.1926635533211021,6854.6396484375,not crossed,safe,-5671.25,29436.029296875,2020-05-12,148
2020-03-16,1,0.18034979340787274,11129.3193359375,not crossed,safe,4274.6796875,23702.16015625,2020-08-12,149
2020-06-15,1,0.04145974577382649,12286.9794921875,not crossed,safe,1157.66015625,27922.509765625,2020-11-12,150
2020-09-21,1,0.0771985923059694,14541.4794921875,not crossed,safe,2254.5,29203.900390625,2021-02-12,144
2020-12-21,1,0.06722085330468691,16657.0595703125,not crossed,safe,2115.580078125,31472.080078125,2021-05-12,142
2021-03-15,1,0.05576588479487468,18532.1728515625,not crossed,safe,1875.11328125,33624.73828125,2021-08-12,150
2021-06-21,1,0.01543532890556508,19080.9228515625,not crossed,safe,548.75,35551.55859375,2021-11-12,144
2021-09-20,1,-0.04325233701445997,17518.2666015625,not crossed,safe,-1562.65625,36128.828125,2022-02-14,147
2021-12-20,1,-0.08521807973611617,14562.3759765625,not crossed,safe,-2955.890625,34686.19140625,2022-05-12,143
2022-03-21,1,0.05622573248009104,16359.5673828125,not crossed,safe,1797.19140625,31963.859375,2022-08-12,144
2022-06-20,1,-0.005161566031926761,16185.5673828125,not crossed,safe,-174.0,33710.69921875,2022-11-14,147
2022-09-19,1,0.014515615943072985,16675.5556640625,not crossed,safe,489.98828125,33755.94140625,2023-02-13,147
2022-12-19,1,-0.02612933270289422,15782.0869140625,not crossed,safe,-893.46875,34194.08984375,2023-05-12,144
2023-03-20,1,0.010357633967665585,16127.2158203125,not crossed,safe,345.12890625,33321.2109375,2023-09-28,192
